Full Name,Year,Email,# Meeting Attended,#Projects Assisted
Leaders,,,,
Lucia Tavite,13,lucia.t@vinniestm.org.nz,?????,???
James Paul,13,james.s@students.vinnies.school.nz,??,?
Margaret Sampson,12,margaret.s@students.vinnies.school.nz,?,
Austin Landry,12,austin.l@students.vinnies.school.nz,?????,?????
Young Vinnies Members,,,,
John Morgan,13,john.m@students.vinnies.school.nz,???,????
Laura Anderson,13,laura.a@students.vinnies.school.nz,????,???
April Jones,12,april.j@students.vinnies.school.nz,??,????
Grace Sheppard,11,grace.s@students.vinnies.school.nz,????,
Hannah Cordtz,11,,?,????
,,,,
Junior Vinnies Members,,,,
Jasmine Bell,10,,????,
Noah James,7,,?????,???
Sam Patterson,8,,???,????
Bella Andrews,9,,?,???
